Escenario,Modelo,Accuracy,Precision,Recall,F1,FN
A - Todas,Regresion Logistica,0.9555555555555556,0.9361702127659575,0.9361702127659575,0.9361702127659575,3
A - Todas,KNN (k=5),0.9555555555555556,0.9361702127659575,0.9361702127659575,0.9361702127659575,3
A - Todas,SVM (RBF),0.9629629629629629,0.9375,0.9574468085106383,0.9473684210526315,2
B - Top 3,Regresion Logistica,0.9259259259259259,0.9302325581395349,0.851063829787234,0.8888888888888888,7
B - Top 3,KNN (k=5),0.9481481481481482,0.9347826086956522,0.9148936170212766,0.9247311827956989,4
B - Top 3,SVM (RBF),0.9481481481481482,0.9347826086956522,0.9148936170212766,0.9247311827956989,4
